Provinsi,2017,2018,2019,2020,2021,2022
ACEH,70.60,71.19,71.90,71.99,72.18,72.80
SUMATERA UTARA,70.57,71.18,71.74,71.77,72.00,72.71
SUMATERA BARAT,71.24,71.73,72.39,72.38,72.65,73.26
RIAU,71.79,72.44,73.00,72.71,72.94,73.52
JAMBI,69.99,70.65,71.26,71.29,71.63,72.14
SUMATERA SELATAN,68.86,69.39,70.02,70.01,70.24,70.90
BENGKULU,69.95,70.64,71.21,71.40,71.64,72.16
LAMPUNG,68.25,69.02,69.57,69.69,69.90,70.45
KEP. BANGKA BELITUNG,69.99,70.67,71.30,71.47,71.69,72.24
KEP. RIAU,74.45,74.84,75.48,75.59,75.79,76.46
DKI JAKARTA,80.06,80.47,80.76,80.77,81.11,81.65
JAWA BARAT,70.69,71.30,72.03,72.09,72.45,73.12
JAWA TENGAH,70.52,71.12,71.73,71.87,72.16,72.79
DAERAH ISTIMEWA YOGYAKARTA,78.89,79.53,79.99,79.97,80.22,80.64
JAWA TIMUR,70.27,70.77,71.50,71.71,72.14,72.75
BANTEN,71.42,71.95,72.44,72.45,72.72,73.32
BALI,74.30,74.77,75.38,75.50,75.69,76.44
NUSA TENGGARA BARAT,66.58,67.30,68.14,68.25,68.65,69.46
NUSA TENGGARA TIMUR,63.73,64.39,65.23,65.19,65.28,65.90
KALIMANTAN BARAT,66.26,66.98,67.65,67.66,67.90,68.63
KALIMANTAN TENGAH,69.79,70.42,70.91,71.05,71.25,71.63
KALIMANTAN SELATAN,69.65,70.17,70.72,70.91,71.28,71.84
KALIMANTAN TIMUR,75.12,75.83,76.61,76.24,76.88,77.44
KALIMANTAN UTARA,69.84,70.56,71.15,70.63,71.19,71.83
SULAWESI UTARA,71.66,72.20,72.99,72.93,73.30,73.81
SULAWESI TENGAH,68.11,68.88,69.50,69.55,69.79,70.28
SULAWESI SELATAN,70.34,70.90,71.66,71.93,72.24,72.82
SULAWESI TENGGARA,69.86,70.61,71.20,71.45,71.66,72.23
GORONTALO,67.01,67.71,68.49,68.68,69.00,69.81
SULAWESI BARAT,64.30,65.10,65.73,66.11,66.36,66.92
MALUKU,68.19,68.87,69.45,69.49,69.71,70.22
MALUKU UTARA,67.20,67.76,68.70,68.49,68.76,69.47
IRIAN JAYA BARAT,62.99,63.74,64.70,65.09,65.26,65.89
IRIAN JAYA TIMUR,59.09,60.06,60.84,60.44,60.62,61.39
IRIAN JAYA TENGAH,59.09,60.06,60.84,60.44,60.62,61.39
INDONESIA,70.81,71.39,71.92,71.94,72.29,72.91
