Provinsi,2017,2018,2019,2020,2021,2022
ACEH,48.54,49.86,50.04,51.81,49.65,49.32
SUMATERA UTARA,47.04,48.16,48.97,49.86,51.04,49.24
SUMATERA BARAT,49.44,51.55,51.67,51.88,51.56,50.79
RIAU,50.72,53.58,54.06,54.98,54.86,52.75
JAMBI,51.16,50.93,51.98,53.38,52.8,52.84
SUMATERA SELATAN,50.35,52.86,53.12,52.17,52.29,50.39
BENGKULU,56.7,57.54,57.23,57.32,56.01,53.62
LAMPUNG,50.51,52.39,52.08,52.26,52.69,51.16
KEP. BANGKA BELITUNG,50.35,52.53,52.25,51.25,50.96,49.09
KEP. RIAU,52.26,53.23,56.34,55.51,55.89,54.62
DKI JAKARTA,60.06,58.42,59.3,58.16,60.46,62.25
JAWA BARAT,51.32,53.07,52.06,52.3,52.64,52.64
JAWA TENGAH,52.66,53.67,53.69,53.66,53.09,51.77
DAERAH ISTIMEWA YOGYAKARTA,59.75,61.34,61.35,60.83,60,59.28
JAWA TIMUR,53.55,53.63,54.9,54.31,53.32,51.99
BANTEN,53,54.37,53.14,52.38,53.34,51.15
BALI,59.25,58.19,57.73,57.3,59.07,59.79
NUSA TENGGARA BARAT,48.39,45.32,49.38,49.37,49.07,45.15
NUSA TENGGARA TIMUR,52.55,51.67,53.21,53.96,52.5,53.76
KALIMANTAN BARAT,51.11,54.5,53.56,53.85,52.86,51.01
KALIMANTAN TENGAH,51.64,53.33,53.38,54.15,53.26,51.89
KALIMANTAN SELATAN,51.9,52.75,53.79,52.98,53.28,51.82
KALIMANTAN TIMUR,56.61,57.08,57.4,57.22,59.39,56.85
KALIMANTAN UTARA,50.69,54.49,53.46,54.79,54.54,54.03
SULAWESI UTARA,49.71,56.16,53.63,54.83,51.98,48.25
SULAWESI TENGAH,54.94,56.66,53.91,56.6,56.91,53.92
SULAWESI SELATAN,57.24,54.54,56.14,55.01,55.54,53.63
SULAWESI TENGGARA,57.43,57.47,57.79,56.54,57.08,56.91
GORONTALO,56.41,56.6,59.21,60.4,57.37,59.96
SULAWESI BARAT,52.68,52.59,53.46,55.56,56.02,56.39
MALUKU,51.32,52.35,53.35,54.89,55.55,53.72
MALUKU UTARA,54.86,56.84,56.76,56.72,55.3,54.31
IRIAN JAYA BARAT,56.57,54.35,54.28,53.74,55.8,53.73
IRIAN JAYA TIMUR,50.12,53.36,52.98,53.16,52.06,51.99
IRIAN JAYA TENGAH,50.12,53.36,52.98,53.16,52.06,51.99
INDONESIA,53.3,54.02,54.1,53.95,54.19,53.46
